Section,Question,Answer
General Admissions,What is the Ontario Tech Applicant Portal and how do I access it?,"If you've applied to one of our programs, you can log into the Ontario Tech Applicant Portal to view the status of your application. If you have questions about accessing or using the Applicant Portal, please visit our Applicant Portal frequently asked questions page."
General Admissions,How do I check the status of my application?,You can view the status of your application by logging into your Applicant Portal by using your Ontario Tech University Student Number (10xxxxxxx) as your username and birthday (in the format MMDDYY) as your password.
General Admissions,I am having issues logging into my Applicant Portal; what should I do?,"Please contact IT Services at 905.721.3333. For prompt service, please ensure to have your Ontario Tech University Student Number ready."
General Admissions,How do I pay the non-refundable tuition deposit?,You can pay your non-refundable tuition deposit on our Pay your deposit website or via ontariotechu.ca/tuitiondeposit.
General Admissions,Does the university offer winter or spring entry to its programs?,"Visit the winter applicants page for information. All of our full-time undergraduate degree programs begin in September (fall). Some college-to-university transfer programs begin in the spring. For a list of these programs, please visit our college-to-university transfer website."
General Admissions,How do I apply to the university?,Domestic students must apply through the Ontario Universities' Application Centre (OUAC). Please visit the OUAC website to apply online. International students must apply through OUAC. Please visit the OUAC website to apply online. Find out what type of applicant you are.
General Admissions,Where should my transcripts be sent?,Official transcripts can be sent to: Office of the Registrar - Admissions Ontario Tech University 2000 Simcoe Street North Oshawa Ontario L1G 0C5 Canada Our website has detailed information on how secondary school transcripts and post-secondary transcripts must be submitted. International applicants: Please see the International documents page.
General Admissions,What is an official transcript?,"An official transcript is a complete record of all academic activities you completed at an educational institution. An official transcript includes: The courses you took. The final marks you received. Your degree designation (if applicable). The following documents will not be accepted as official, but can be used for admission consideration: Photocopied, scanned or faxed transcripts. Transcripts sent by or hand-delivered by students."
General Admissions,How do I get an official transcript from the secondary school I attended?,Information about secondary-school transcripts is available on the Admissions website. International applicants: Please see the International applicants page.
General Admissions,Do I need to submit a supplemental application?,"No, the university does not require supplemental applications for undergraduate programs."
General Admissions,What programs are available to study?,The university offers a growing number of undergraduate and graduate programs. Visit our programs page to learn more.
General Admissions,How do I transfer credits earned in a college program to an Ontario Tech University program?,It is the university's policy that a student must be admitted to a degree program to be eligible for transfer credit(s). Please visit our Transfer credit pages for more information.
General Admissions,How do I get more information on college-to-university transfer programs?,The university offers many college-to-university transfer programs. Detailed information about each program can be found on the college-to-university transfer website.
General Admissions,How do I know if you received my documents?,"You can view the status of your documents by logging into the Applicant Portal using your Ontario Tech University Student Number (10xxxxxxx) as your username, and birthday (in the format MMDDYY) as your password. Once mail arrives at the university, it may take 5 to 10 business days to be processed and updated on your Applicant Portal."
General Admissions,Whom can I contact with questions about my application?,Please make sure you include your Ontario Tech University Student Number in all communication with us. Applicants currently enrolled in an Ontario secondary school: admissions@ontariotechu.ca Bachelor of Education applicants: admissions@ontariotechu.ca International undergraduate applicants: admissions@ontariotechu.ca All other undergraduate applicants: admissions@ontariotechu.ca Graduate Studies applicants: gradadmissions@ontariotechu.ca
General Admissions,What are the admission requirements for my program?,Please see our prerequisites for program-specific admission requirements. The prerequisite courses you may be asked to present are: ENG4U English ICS4U Computer Science MCV4U Calculus and Vectors MDM4U Mathematics of Data Management MHF4U Advanced Functions SBI4U Biology SCH4U Chemistry SPH4U Physics
General Admissions,What can I do to upgrade my marks?,There are numerous options available to you; see our Upgrading page for more information.
General Admissions,"If I retake a course, what mark is used?","If a student has taken a course more than one time, we use the best grade to calculate the admission average."
General Admissions,I have an offer to the university but I my average has dropped below the minimum average. What should I do?,"If your admission average has dropped below the minimum average stated in your offer of admission, we encourage you to upgrade your marks. As stated in your offer, admission is conditional upon satisfactory completion of all courses currently in progress, program prerequisites and a required minimum final admission average. Failure to meet the admission requirements may result in the withdrawal of your offer. More information can be found on the upgrading page ."
General Admissions,I am a former Ontario Tech University student; how can I apply?,Visit our former Ontario Tech University students applicant page for information.
General Admissions,Can I defer my offer of admission?,"The university will consider deferring your application to a future intake. Due to the competitive nature of our admissions process, your application will be evaluated among the new pool of applicants. For more information, please see our Special considerations page."
General Admissions,When will I hear if I a decision has been made on my application?,The university begins assessing applications in December and continues on an ongoing basis as required documentation is received as space remains in programs. Please ensure your documents are submitted before the appropriate deadlines stated on the Admissions website if you wish to receive a timely response.
General Admissions,When is the deadline to accept my offer of admission?,"You must respond to your offer by the date indicated in your offer letter. To secure your seat in the program, we recommend you accept your offer and pay your $500 non-refundable confirmation deposit as soon as possible. Pending space availability, you may be able to accept your offer beyond your deadline date; if the program becomes full, your seat in the program will be lost and your offer expired."
General Admissions,My offer has expired; what should I do?,"Please contact the Office of the Registrar and request that the offer of admission be re-posted on the OUAC website. The Office of the Registrar will review your file to ensure you are still admissible to the program. If you are admissible and there is space available, your offer will reappear on the OUAC."
General Admissions,How do I make changes to my application?,"If you applied through OUAC, you may amend your application on OUAC. If you have already accepted an offer of admission and paid a deposit to the university, please contact the Office of the Registrar for further assistance."
